"108, 110, 123, 134, 135, 145, 167, 187, 199",,,,,,,,,,,,
,,,,,,,,,,,,
108,110,123,134,135,145,167,187,199,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,Weight,probability,E.V
,,,,,,,,,,108,0.111111111,12
,,,,,,,,,,110,0.111111111,12.22222222
,,,,,,,,,,123,0.111111111,13.66666667
,,,,,,,,,,134,0.111111111,14.88888889
,,,,,,,,,,135,0.111111111,15
,,,,,,,,,,145,0.111111111,16.11111111
,,,,,,,,,,167,0.111111111,18.55555556
,,,,,,,,,,187,0.111111111,20.77777778
,,,,,,,,,,199,0.111111111,22.11111111
,,,,,,,,,,,,
,,,,,,,,,,,sum =,145.3333333
